Clone ID,Titer (g/L),Viability (%),VCD (10⁶ cells/mL),Growth Rate,Stable,Glycosylation,Aggregates (%),Score
Clone_030,5.63,89.3,8.0,0.0397,Yes,Optimal,3.7,1.062
Clone_031,3.16,92.1,8.0,0.0307,Yes,Good,5.9,0.651
Clone_032,2.59,85.3,8.0,0.0222,Yes,Poor,7.0,0.569
Clone_033,1.76,84.3,8.0,0.0312,Yes,Optimal,3.9,0.77
Clone_034,0.1,95.2,8.0,0.0405,No,Optimal,4.3,0.486
Clone_035,4.53,90.4,8.0,0.0275,No,Optimal,6.7,0.699
Clone_036,0.95,93.4,8.0,0.0346,No,Optimal,2.2,0.536
Clone_037,2.01,91.7,8.0,0.0266,Yes,Optimal,6.9,0.699
Clone_038,3.85,89.8,8.0,0.0403,Yes,Optimal,5.3,0.872
Clone_039,2.53,88.3,8.0,0.0334,No,Optimal,4.0,0.647
Clone_040,1.73,90.0,8.0,0.0344,No,Optimal,6.2,0.49
Clone_041,0.1,95.5,8.0,0.0338,Yes,Good,1.2,0.522
Clone_042,3.05,91.7,8.0,0.0266,Yes,Optimal,1.1,0.882
Clone_043,0.6,87.5,8.0,0.0424,Yes,Optimal,4.3,0.711
Clone_044,3.51,95.5,8.0,0.0438,Yes,Optimal,1.2,0.967
Clone_045,0.61,90.6,8.0,0.0298,Yes,Poor,8.0,0.442
Clone_046,1.1,85.7,8.0,0.0196,No,Optimal,1.8,0.496
Clone_047,1.39,95.5,8.0,0.0255,Yes,Optimal,3.1,0.756
Clone_048,2.19,95.5,8.0,0.0243,Yes,Poor,8.0,0.568
Clone_049,4.09,95.5,8.0,0.0257,No,Poor,7.0,0.523
Clone_050,2.43,85.3,8.0,0.0311,Yes,Optimal,6.7,0.727
Clone_051,0.2,78.7,8.0,0.0494,Yes,Optimal,4.3,0.663
Clone_052,5.7,93.9,8.0,0.0289,Yes,Poor,2.2,0.899
Clone_053,3.84,94.1,8.0,0.0429,Yes,Optimal,0.6,0.988
Clone_054,4.46,95.5,8.0,0.0201,Yes,Good,2.6,0.841
Clone_055,0.52,88.2,8.0,0.0426,Yes,Optimal,1.8,0.707
Clone_056,1.45,95.5,8.0,0.0365,No,Optimal,5.6,0.486
Clone_057,5.29,91.8,8.0,0.0354,Yes,Poor,5.5,0.808
Clone_058,0.1,95.5,8.0,0.0328,Yes,Optimal,1.5,0.67
Clone_059,0.1,95.5,8.0,0.0341,Yes,Poor,2.5,0.522
Clone_060,2.4,95.5,8.0,0.0349,Yes,Optimal,3.2,0.858
Clone_061,1.29,89.5,8.0,0.0249,Yes,Poor,7.8,0.482
Clone_062,0.73,89.8,8.0,0.0325,No,Optimal,0.5,0.505
Clone_063,2.04,94.3,8.0,0.0355,Yes,Optimal,5.6,0.728
Clone_064,0.25,95.5,8.0,0.042,Yes,Optimal,7.1,0.602
Clone_065,1.89,95.2,8.0,0.0256,Yes,Optimal,6.5,0.696
Clone_066,1.23,92.1,8.0,0.0265,Yes,Poor,4.5,0.588
Clone_067,5.05,92.0,8.0,0.049,Yes,Optimal,1.4,1.08
Clone_068,2.86,88.9,8.0,0.0387,No,Optimal,4.8,0.687
Clone_069,3.03,88.6,8.0,0.0261,Yes,Poor,6.4,0.622
Clone_070,2.47,89.1,8.0,0.038,No,Good,6.0,0.405
Clone_071,1.73,86.4,8.0,0.029,Yes,Good,7.0,0.519
Clone_072,0.77,95.5,8.0,0.0195,Yes,Optimal,6.0,0.593
Clone_073,4.15,85.1,8.0,0.0247,Yes,Poor,6.1,0.7
Clone_074,0.57,91.7,8.0,0.0376,No,Optimal,4.4,0.509
Clone_075,2.11,92.8,8.0,0.0382,Yes,Good,2.4,0.686
Clone_076,1.09,89.4,8.0,0.0458,No,Optimal,4.4,0.56
Clone_077,2.54,95.5,8.0,0.0294,Yes,Optimal,0.7,0.858
Clone_078,1.15,95.5,8.0,0.0247,No,Good,7.0,0.285
Clone_079,0.71,83.1,8.0,0.0303,Yes,Optimal,7.6,0.582
Clone_080,1.87,88.4,8.0,0.0218,No,Optimal,2.8,0.569
Clone_081,4.15,90.5,8.0,0.0291,Yes,Optimal,3.6,0.973
Clone_082,1.02,87.6,6.21,0.015,No,Poor,7.9,0.234
Clone_083,1.97,83.6,8.0,0.024,Yes,Poor,2.4,0.62
Clone_084,1.82,86.0,8.0,0.0183,Yes,Optimal,6.0,0.651
Clone_085,1.97,93.4,8.0,0.0411,Yes,Optimal,0.9,0.833
Clone_086,0.82,89.2,8.0,0.0416,Yes,Good,6.3,0.481
Clone_087,0.21,89.0,8.0,0.05,Yes,Poor,6.9,0.439
Clone_088,1.94,77.8,8.0,0.0315,Yes,Optimal,2.7,0.77
Clone_089,2.06,85.5,8.0,0.05,Yes,Optimal,2.7,0.828
Clone_090,1.84,94.3,8.0,0.0451,Yes,Optimal,7.1,0.733
Clone_091,1.37,87.3,8.0,0.0352,No,Poor,6.8,0.306
Clone_092,2.31,94.4,8.0,0.0339,Yes,Poor,3.0,0.696
Clone_093,1.84,87.2,8.0,0.0373,Yes,Optimal,5.1,0.698
Clone_094,5.1,95.5,8.0,0.0238,Yes,Good,5.5,0.792
Clone_095,6.41,94.5,8.0,0.0226,Yes,Good,7.2,0.786
Clone_096,2.07,92.5,8.0,0.0318,No,Optimal,7.6,0.517
